NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022
2,Jessie J,Sweet Talker,Bang Bang (feat. Ariana Grande & Nicki Minaj),-,-,-,-,-,-,-,-,Bang Bang (feat. Ariana Grande & Nicki Minaj),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bang Bang (feat. Ariana Grande & Nicki Minaj),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Jet,Get Born,Are you Gonna Be My Girl,-,-,-,-,-,-,-,-,Are you Gonna Be My Girl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Jimmy Eat World,Invented,My Best Theory,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,My Best Theory,My Best Theory,-
13,Jimmy Eat World,Jimmy Eat World,The Middle,The Middle,The Middle,The Middle,The Middle,The Middle,The Middle,The Middle,The Middle,-,-,-,-,The Middle,-,-,The Middle,-,-,The Middle,-,-,-,-,-,-,-,-,-,-,-,-,-,The Middle,-,-,-,-,-,-,-,-,-,-,-,-,The Middle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Joan Jett & The Blackhearts,I Love Rock 'N Roll,I Love Rock 'N Roll,-,-,-,-,-,-,-,-,-,I Love Rock 'N Roll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Joe Purdy,Julie Blue,Wash Away (Reprise),-,-,-,-,-,-,-,-,-,-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,-,-,-,-,Wash Away (Reprise),Wash Away (Reprise),-,-,Wash Away (Reprise),-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,Wash Away (Reprise),-,-,Wash Away (Reprise),Wash Away (Reprise),-,Wash Away (Reprise),-,-,Wash Away (Reprise),Wash Away (Reprise),-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,-,-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,-,-,Wash Away (Reprise),Wash Away (Reprise),-,Wash Away (Reprise),Wash Away (Reprise),-,-,-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,Wash Away (Reprise),Wash Away (Reprise),Wash Away (Reprise),-,-
8,John K,love + everything else,If We Never Met,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,If We Never Met,If We Never Met,If We Never Met,If We Never Met,If We Never Met,If We Never Met,-,-,-,-,If We Never Met,-,If We Never Met,-,-
6,John K,love + everything else,6 months,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6 months,6 months,6 months,6 months,6 months,-,-,-,6 months,-,-,-,-
5,John K,in case you miss me,in case you miss me,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,in case you miss me,in case you miss me,in case you miss me,in case you miss me,-,-,-,-,-,-,-,in case you miss me,-
3,John K,love + everything else,happiness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,happiness,happiness,happiness,-,-,-,-,-,-,-,-,-,-
25,John Legend,Love in the Future,All of Me,-,All of Me,All of Me,All of Me,All of Me,All of Me,-,All of Me,-,-,-,All of Me,All of Me,All of Me,-,-,-,All of Me,All of Me,All of Me,All of Me,-,-,-,All of Me,-,-,All of Me,All of Me,-,All of Me,-,-,-,All of Me,-,All of Me,-,All of Me,-,-,-,-,-,-,-,All of Me,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,All of Me,All of Me,All of Me,-,All of Me,-,-,-,-,-,-,-
6,John Legend,Darkness and Light,Love Me Now,-,-,-,-,-,-,-,-,-,-,-,Love Me Now,Love Me Now,Love Me Now,-,-,-,Love Me Now,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Love Me Now,Love Me Now,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,John Mayer,Sob Rock,Carry Me Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,-,Carry Me Away,-,Carry Me Away,-,Carry Me Away,Carry Me Away,Carry Me Away,Carry Me Away,-,-
3,John Mayer,The Search for Everything,Emoji of a Wave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Emoji of a Wave,Emoji of a Wave,Emoji of a Wave,-,-
16,John Mayer,Sob Rock,I Guess I Just Feel Like,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,I Guess I Just Feel Like,-,I Guess I Just Feel Like,I Guess I Just Feel Like,-,-,-,-,I Guess I Just Feel Like,I Guess I Just Feel Like,-,-,-,-,I Guess I Just Feel Like,I Guess I Just Feel Like,-,-
29,John Mayer,Battle Studies,Who Says,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,Who Says,-,-,-,Who Says,-,-,-,-,Who Says,Who Says,-,Who Says,Who Says,Who Says,-,-,-,-,Who Says,-,-,-,-,-,-,-,-,-,-,-,Who Says,Who Says,Who Says,-,-
39,John Mayer,XO - Single,XO (Cover),XO (Cover),XO (Cover),XO (Cover),XO (Cover),XO (Cover),-,-,-,-,-,-,XO (Cover),XO (Cover),XO (Cover),-,-,-,XO (Cover),XO (Cover),XO (Cover),-,-,XO (Cover),XO (Cover),XO (Cover),XO (Cover),-,XO (Cover),XO (Cover),XO (Cover),XO (Cover),-,-,-,-,XO (Cover),XO (Cover),XO (Cover),-,-,XO (Cover),-,XO (Cover),XO (Cover),XO (Cover),-,-,-,-,-,-,-,-,XO (Cover),XO (Cover),-,-,-,-,-,-,-,XO (Cover),XO (Cover),XO (Cover),XO (Cover),XO (Cover),XO (Cover),-,-,-,-,-,-,-,-,XO (Cover),XO (Cover),XO (Cover),XO (Cover),XO (Cover),-
9,John Mayer,The Search for Everything,In the Blood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,In the Blood,In the Blood,In the Blood,In the Blood,In the Blood,In the Blood,-,-,-,-,-,-,-,In the Blood,-,-,-,In the Blood,In the Blood,-,-
9,John Mayer,The Search for Everything,Love on the Weekend,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,Love on the Weekend,-,-,-,-,-,-,-,Love on the Weekend,-,-,-,Love on the Weekend,-,-,-
20,John Mayer,Sob Rock,New Light,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,New Light,New Light,New Light,New Light,New Light,New Light,New Light,-,New Light,-,New Light,New Light,New Light,-,New Light,New Light,-,New Light,-,-,New Light,-,-,-,New Light,-,-,-,-,-,New Light,-,-,-,-,-,-,-,-,-,-,New Light,-,-,-,-,New Light,-,New Light,-,-
15,John Mayer,Continuum,Slow Dancing In a Burning Room,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Slow Dancing In a Burning Room,Slow Dancing In a Burning Room,Slow Dancing In a Burning Room,-,Slow Dancing In a Burning Room,Slow Dancing In a Burning Room,Slow Dancing In a Burning Room,Slow Dancing In a Burning Room,-,-,-,Slow Dancing In a Burning Room,-,-,-,Slow Dancing In a Burning Room,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Slow Dancing In a Burning Room,-,-,Slow Dancing In a Burning Room,Slow Dancing In a Burning Room,-,-,-,-,-,-,-,-,-,-,Slow Dancing In a Burning Room,-,-,-,Slow Dancing In a Burning Room,-,Slow Dancing In a Burning Room,-
19,John Mayer,Heavier Things,Daughters,Daughters,Daughters,Daughters,Daughters,Daughters,Daughters,-,-,Daughters,-,-,Daughters,-,-,-,-,-,Daughters,Daughters,Daughters,Daughters,-,-,-,Daughters,Daughters,-,Daughters,-,-,-,-,-,Daughters,Daughters,-,-,-,-,-,-,-,Daughters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Daughters,-,-,-
17,John Mayer,Heavier Things,Clarity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Clarity,-,Clarity,Clarity,Clarity,-,Clarity,Clarity,-,Clarity,Clarity,Clarity,-,Clarity,Clarity,-,Clarity,Clarity,-,-,-,-,-,-,-,-,-,-,-,-,-,Clarity,Clarity,-,-,-,-,-,-,Clarity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Clarity,-
16,John Mayer,Continuum,Waiting On the World to Change,-,-,-,-,-,-,-,-,-,-,-,-,Waiting On the World to Change,Waiting On the World to Change,Waiting On the World to Change,Waiting On the World to Change,-,Waiting On the World to Change,-,Waiting On the World to Change,Waiting On the World to Change,-,Waiting On the World to Change,-,-,-,-,Waiting On the World to Change,-,Waiting On the World to Change,-,-,-,-,-,-,Waiting On the World to Change,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Waiting On the World to Change,Waiting On the World to Change,Waiting On the World to Change,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Waiting On the World to Change,-,Waiting On the World to Change,-
4,John Mayer,Say - Single,Say,-,-,-,-,-,-,-,-,-,-,-,-,-,Say,-,-,-,-,Say,Say,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Say,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,John Mayer,Room for Squares,Your Body Is A Wonderland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Your Body Is A Wonderland,Your Body Is A Wonderland,-,Your Body Is A Wonderland,-,-,-,-,-,-,Your Body Is A Wonderland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,John Newman,Tribute,Love Me Again,-,-,-,-,-,-,-,Love Me Again,-,-,-,-,-,-,-,-,-,Love Me Again,Love Me Again,Love Me Again,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Love Me Again,Love Me Again,-,Love Me Again,-,-,-,-,-,-,Love Me Again,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Johnny Cash,American III: Solitary Man,One,-,-,-,-,-,-,-,-,-,One,-,-,-,-,-,One,-,-,One,One,-,-,-,One,One,One,One,One,-,One,One,-,-,-,One,-,One,-,-,One,-,-,-,One,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,One,One,One,-,-,-,-,-,One,-,-,-,-,-,-,-
1,Johnny Cash,American V: A Hundred Highways,God's Gonna Cut You Down,-,-,-,-,-,-,God's Gonna Cut You Down,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Joji,Nectar,Daylight (feat. Diplo),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),-,Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),Daylight (feat. Diplo),-,-,-
15,Joji,BALLADS 1,Slow Dancing in the Dark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,Slow Dancing in the Dark,-,-,Slow Dancing in the Dark,-,-,Slow Dancing in the Dark,-,-,-,-,-
15,Joji,Nectar,Your Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,Your Man,-,-,-,-,Your Man,-,-,-,-,-
9,Joji,BALLADS 1,Test Drive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Test Drive,Test Drive,Test Drive,Test Drive,Test Drive,Test Drive,Test Drive,Test Drive,-,-,-,-,-,-,-,-,-,-,Test Drive,-,-
9,Joji,BALLADS 1,Yeah Right,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yeah Right,Yeah Right,Yeah Right,Yeah Right,Yeah Right,Yeah Right,Yeah Right,-,Yeah Right,-,-,-,-,-,-,-,-,-,-,Yeah Right,-
41,Jon Bellion,The Human Condition,All Time Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,All Time Low,-,All Time Low,-,All Time Low,-,-,-,-,All Time Low,-,All Time Low,-,-,-,All Time Low,All Time Low,-,-
12,Jon Bellion,The Human Condition,iRobot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iRobot,iRobot,iRobot,iRobot,iRobot,iRobot,iRobot,-,iRobot,iRobot,iRobot,iRobot,iRobot,-,-,-,-,-
6,Jon Bellion,The Separation,Eyes To the Sky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eyes To the Sky,Eyes To the Sky,Eyes To the Sky,Eyes To the Sky,Eyes To the Sky,-,Eyes To the Sky,-,-,-
21,Jon Bellion,Glory Sound Prep,Conversations with My Wife,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,Conversations with My Wife,-,Conversations with My Wife,-,Conversations with My Wife,-,-,-,-,Conversations with My Wife,-,-,-,-,-,-,-,Conversations with My Wife,-,-,-,-,-,-,-,-,-
20,Jon Bellion,Glory Sound Prep,Blu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,Blu,-,-,-,Blu,Blu,-,-,-,-,-,-,-,-,-,-,-,Blu,Blu,-,-,-,-,-,-,-,-
13,Jon Bellion,The Human Condition,Woke the F*ck Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woke the F*ck Up,Woke the F*ck Up,Woke the F*ck Up,Woke the F*ck Up,Woke the F*ck Up,Woke the F*ck Up,Woke the F*ck Up,Woke the F*ck Up,-,Woke the F*ck Up,-,Woke the F*ck Up,-,-,-,-,Woke the F*ck Up,-,-,-,Woke the F*ck Up,-,-,-,-,-,-,-,Woke the F*ck Up,-
10,Jon Bellion,The Human Condition,Guillotine (feat. Travis Mendes),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),Guillotine (feat. Travis Mendes),-,-,-,Guillotine (feat. Travis Mendes),-,-,-,-,-,-,-,Guillotine (feat. Travis Mendes),-,-,-,-,-,-,-,-
15,Jon Bellion,Glory Sound Prep,Stupid Deep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,-,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,Stupid Deep,-,Stupid Deep,Stupid Deep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Jon Bellion,Glory Sound Prep,JT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JT,JT,JT,JT,JT,JT,-,-,-,JT,JT,-,-,JT,-,-,JT,JT,-,JT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JT,-,-,-,-,-,-,-,-,-,-,-
11,Jonas Brothers,Happiness Begins,Only Human,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Only Human,Only Human,Only Human,Only Human,Only Human,-,Only Human,-,Only Human,-,-,-,Only Human,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Only Human,Only Human,Only Human,-,-,-,-,-
11,José González,Veneer,Heartbeats,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Heartbeats,Heartbeats,Heartbeats,Heartbeats,Heartbeats,-,Heartbeats,Heartbeats,-,Heartbeats,Heartbeats,-,-,Heartbeats,-,-,Heartbeats,-,-
15,Journey,Escape [Journey],Don't Stop Believin',-,-,-,-,-,-,-,-,-,-,-,-,-,Don't Stop Believin',-,-,-,-,-,-,-,-,-,-,-,Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',-,-,-,-,-,-,-,-,Don't Stop Believin',-,-,-,-,-,-,Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',Don't Stop Believin',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Don't Stop Believin',-,-,Don't Stop Believin',-,-,-,-
1,Journey,Departure,Any Way You Want It,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Any Way You Want It,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Joywave,Content,Shutdown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shutdown,Shutdown,Shutdown,Shutdown,Shutdown,Shutdown,Shutdown,Shutdown,-,Shutdown,-,-,Shutdown,-,Shutdown,-,-,-
8,Joywave,Content,It's a Trip!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,It's a Trip!,It's a Trip!,It's a Trip!,It's a Trip!,It's a Trip!,-,-,-,It's a Trip!,It's a Trip!,It's a Trip!,-,-,-,-,-,-,-,-,-,-,-,-
5,Joywave,Content,Doubt [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Doubt [2],Doubt [2],Doubt [2],Doubt [2],-,Doubt [2],-,-,-,-,-,-,-,-,-,-
9,Joywave,How Do You Feel Now?,Tongues (feat. Kopps),-,-,-,-,-,-,Tongues (feat. Kopps),-,-,-,-,-,-,-,Tongues (feat. Kopps),-,-,-,Tongues (feat. Kopps),-,-,-,-,-,-,-,-,-,Tongues (feat. Kopps),-,-,Tongues (feat. Kopps),-,-,-,Tongues (feat. Kopps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tongues (feat. Kopps),-,-,-,-,-,Tongues (feat. Kopps),-,-,-,Tongues (feat. Kopps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Julia Michaels,Nervous System,Issues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Issues,Issues,Issues,Issues,Issues,Issues,Issues,Issues,Issues,Issues,Issues,Issues,-,Issues,Issues,Issues,Issues,-,Issues,Issues,Issues,Issues,Issues,Issues,-,Issues,-,-,-,-,-,-,-,-,-,Issues,Issues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Issues,-
